iter	Logloss
0	0.6820687484
1	0.6709352952
2	0.6600660739
3	0.6502544383
4	0.6391502535
5	0.6309269795
6	0.6210186498
7	0.6117658548
8	0.6015439646
9	0.5930425469
10	0.5841518128
11	0.5751107771
12	0.5668866097
13	0.5585283958
14	0.5506486689
15	0.5423642993
16	0.5354332713
17	0.5279502237
18	0.5207870001
19	0.5125570669
20	0.5061729855
21	0.4991828146
22	0.4907969363
23	0.4844105355
24	0.4772041904
25	0.469867856
26	0.4638305341
27	0.4582177856
28	0.4516876439
29	0.4445756764
30	0.4377013746
31	0.4324419796
32	0.4273468723
33	0.4209041067
34	0.4146701601
35	0.408497332
36	0.4026979965
37	0.3979315172
38	0.3929111141
39	0.3874664707
40	0.3818964502
41	0.3774031513
42	0.3725808099
43	0.3684023231
44	0.3633593381
45	0.3587952461
46	0.3544726963
47	0.3497768519
48	0.346440978
49	0.3423648495
50	0.3378792778
51	0.3337009378
52	0.3298657614
53	0.3258949361
54	0.3221740758
55	0.3181813602
56	0.3141760077
57	0.3098668094
58	0.3062975922
59	0.3022374298
60	0.2981484831
61	0.2945948766
62	0.2910717749
63	0.2879319165
64	0.2851114152
65	0.2823564127
66	0.2790166021
67	0.2763811999
68	0.273937923
69	0.2710412373
70	0.2679834714
71	0.2650345081
72	0.2617990537
73	0.2587931669
74	0.2559726616
75	0.2531424656
76	0.2498798221
77	0.2472196106
78	0.2441717188
79	0.241582249
80	0.2391351455
81	0.2368123294
82	0.2344463026
83	0.2319394804
84	0.2292716174
85	0.226897081
86	0.2250445866
87	0.222643578
88	0.2204690621
89	0.2178383528
90	0.2158445327
91	0.2138773159
92	0.2117992921
93	0.2096338385
94	0.208054778
95	0.2058686833
96	0.2042056255
97	0.2028100209
98	0.2009018589
99	0.1989466652
100	0.1972320001
101	0.1952779198
102	0.1939759957
103	0.1922504134
104	0.1906696658
105	0.1889415047
106	0.1876829476
107	0.1857615622
108	0.1841495647
109	0.1824445833
110	0.18073215
111	0.1790379223
112	0.1779038034
113	0.1759835896
114	0.1744421485
115	0.1727623097
116	0.1713572777
117	0.1697456719
118	0.1685092415
119	0.1671572237
120	0.1658609342
121	0.1646754203
122	0.1631068647
123	0.1617568716
