iter	Passed	Remaining
198	1029	4145
199	1034	4136
200	1038	4128
201	1042	4118
202	1046	4108
203	1050	4098
204	1054	4088
205	1058	4078
206	1062	4069
207	1066	4060
208	1070	4051
209	1074	4041
210	1078	4031
211	1082	4022
212	1086	4012
213	1089	4002
214	1093	3993
215	1099	3989
216	1104	3984
217	1108	3977
218	1113	3970
219	1117	3963
220	1121	3954
221	1125	3944
222	1129	3936
223	1134	3930
224	1138	3921
225	1142	3912
226	1146	3905
227	1150	3897
228	1154	3888
229	1158	3879
230	1163	3871
231	1168	3868
232	1172	3860
233	1176	3851
234	1181	3844
235	1184	3836
236	1188	3827
237	1192	3819
238	1197	3811
239	1201	3805
240	1205	3797
241	1210	3790
242	1214	3782
243	1218	3774
244	1222	3765
245	1226	3759
246	1231	3754
247	1235	3745
248	1239	3738
249	1243	3731
250	1248	3724
251	1251	3715
252	1255	3707
253	1259	3699
254	1263	3691
255	1267	3683
256	1271	3676
257	1276	3672
258	1281	3666
259	1286	3662
260	1291	3656
261	1295	3649
262	1300	3643
263	1304	3635
264	1308	3630
265	1312	3622
266	1316	3614
267	1320	3606
268	1324	3599
269	1329	3593
270	1333	3586
271	1337	3579
272	1341	3573
273	1345	3566
274	1349	3558
275	1353	3551
276	1357	3543
277	1361	3536
278	1365	3528
279	1369	3521
280	1373	3513
281	1377	3506
282	1381	3499
283	1385	3491
284	1389	3484
285	1393	3479
286	1397	3472
287	1401	3465
288	1406	3459
289	1410	3452
290	1414	3445
291	1418	3438
292	1421	3431
293	1426	3426
294	1430	3419
295	1435	3413
296	1439	3406
297	1443	3400
298	1447	3392
299	1451	3385
300	1454	3378
301	1460	3375
302	1465	3370
303	1470	3365
304	1474	3359
305	1478	3352
306	1482	3346
307	1487	3343
308	1492	3338
309	1496	3331
310	1501	3325
311	1505	3319
312	1509	3312
313	1513	3306
314	1517	3299
315	1521	3293
316	1526	3288
317	1530	3282
318	1534	3276
319	1538	3270
320	1542	3263
321	1546	3257
322	1550	3250
323	1554	3243
324	1558	3237
325	1562	3230
326	1566	3224
327	1570	3218
328	1574	3211
329	1578	3204
330	1582	3198
331	1587	3193
332	1591	3187
333	1595	3180
334	1599	3175
335	1604	3169
336	1607	3163
337	1611	3156
338	1615	3150
339	1620	3145
340	1624	3139
341	1628	3133
342	1633	3128
343	1637	3122
344	1641	3115
345	1645	3109
346	1650	3106
347	1655	3101
348	1660	3096
349	1664	3091
350	1668	3085
351	1672	3079
352	1676	3073
353	1680	3067
354	1685	3062
355	1689	3056
356	1693	3050
357	1697	3043
358	1701	3037
359	1705	3031
360	1709	3025
361	1713	3019
362	1717	3013
363	1721	3007
364	1725	3001
365	1729	2995
366	1733	2989
367	1737	2983
368	1740	2977
369	1744	2971
370	1748	2964
371	1752	2958
372	1756	2952
373	1760	2946
374	1764	2940
375	1768	2934
376	1772	2928
377	1776	2922
378	1780	2916
379	1784	2910
380	1788	2904
381	1792	2899
382	1795	2893
383	1799	2887
384	1803	2881
385	1808	2875
386	1811	2870
387	1815	2864
388	1819	2858
389	1823	2852
390	1829	2849
391	1834	2845
392	1839	2841
393	1843	2835
394	1847	2829
395	1851	2824
396	1855	2818
397	1859	2812
398	1863	2806
399	1867	2800
400	1871	2795
401	1875	2789
402	1879	2783
403	1883	2778
404	1887	2772
405	1891	2766
406	1895	2761
407	1898	2755
408	1902	2749
409	1907	2744
410	1910	2738
411	1914	2733
412	1918	2727
413	1922	2721
414	1926	2716
415	1930	2710
416	1934	2704
417	1938	2699
418	1942	2694
419	1946	2688
420	1950	2682
421	1954	2677
